"spp","branch","age","temp","duration","treatment","EC.control","survival.control","EC.treatment","survival.treatment","survival_final"
"PSME",39,"n","55",270,"55_270_n",26.3756782550688,73.6243217449312,73.5317815714626,26.4682184285374,35.9503731935699
"PSME",39,"o","55",270,"55_270_o",16.0722116428759,83.9277883571241,83.1798193346576,16.8201806653424,20.0412533138253
"PSME",40,"n","55",160,"55_160_n",20.2125330075921,79.7874669924079,72.2047266870766,27.7952733129234,34.8366408418106
"PSME",40,"o","55",160,"55_160_o",6.56885259209132,93.4311474079087,73.6090800904851,26.3909199095149,28.2463831834319
"PSME",41,"n","55",160,"55_160_n",26.7603852493548,73.2396147506452,77.7340726018472,22.2659273981528,30.40148077507
"PSME",41,"o","55",160,"55_160_o",8.11706686349416,91.8829331365058,86.1254068361005,13.8745931638995,15.100294135459
"PSME",42,"n","55",160,"55_160_n",35.8913506418508,64.1086493581493,83.6654913081392,16.3345086918608,25.479414798784
"PSME",42,"o","55",160,"55_160_o",10.4648428612065,89.5351571387935,83.4975914002082,16.5024085997918,18.4312052685745
"PSME",43,"n","55",50,"55_50_n",17.1915295172749,82.8084704827251,62.6312295701055,37.3687704298945,45.1267487638117
"PSME",43,"o","55",50,"55_50_o",9.36448158190451,90.6355184180955,62.0184544526825,37.9815455473175,41.905807138556
"PSME",44,"n","55",50,"55_50_n",34.927627721038,65.072372278962,70.2572587148518,29.7427412851482,45.7071722506789
"PSME",44,"o","55",50,"55_50_o",7.54313272249886,92.4568672775011,45.05351160728,54.94648839272,59.4293209478999
"PSME",45,"n","55",50,"55_50_n",23.8096669391513,76.1903330608487,53.4779832586992,46.5220167413008,61.0602616793216
"PSME",45,"o","55",50,"55_50_o",8.555850963175,91.444149036825,59.4457520184259,40.5542479815741,44.3486526024127
"PSME",96,"n","60",5,"60_5_n",17.5503556739129,82.4496443260871,27.3723170798413,72.6276829201587,88.0873210718984
"PSME",96,"o","60",5,"60_5_o",10.0381513568787,89.9618486431213,13.5601064264743,86.4398935735257,96.0850570294891
"PSME",97,"n","60",5,"60_5_n",10.3556000041104,89.6443999958896,25.4781096183467,74.5218903816533,83.130558501223
"PSME",97,"o","60",5,"60_5_o",9.16194788609319,90.8380521139068,15.3550538731127,84.6449461268873,93.1822558466427
"PSME",98,"n","60",5,"60_5_n",10.2268073405143,89.7731926594857,15.4329870743322,84.5670129256679,94.2007412462592
"PSME",98,"o","60",5,"60_5_o",10.503782897989,89.496217102011,11.3846605541355,88.6153394458645,99.0157375533065
"PSME",90,"n","60",10,"60_10_n",6.63580984759893,93.3641901524011,77.7526046801223,22.2473953198777,23.8286170356778
"PSME",90,"o","60",10,"60_10_o",6.93661767585345,93.0633823241465,64.0254239724505,35.9745760275495,38.6559945803898
"PSME",91,"n","60",10,"60_10_n",7.11518813879236,92.8848118612076,63.7468827480878,36.2531172519122,39.03018860186
