"spp","branch","age","temp","duration","treatment","EC.control","survival.control","EC.treatment","survival.treatment","survival_final","groupVar","season"
"PIPO",6,"o","45",4750,"45_4750_o",10.6351007096036,89.3648992903964,35.0242321784494,64.9757678215506,56.1256277282033,"45_o","spring"
"PIPO",7,"o","45",3500,"45_3500_o",9.49408547446982,90.5059145255302,25.2299515811302,74.7700484188698,72.0491356887659,"45_o","spring"
"PIPO",8,"o","45",3500,"45_3500_o",13.0764509836776,86.9235490163224,18.3066799886137,81.6933200113863,90.3269194038042,"45_o","spring"
"PIPO",9,"o","45",3500,"45_3500_o",9.55777616076063,90.4422238392394,32.8086465458239,67.1913534541762,58.6715103677666,"45_o","spring"
"PIPO",28,"o","45",2250,"45_2250_o",13.2743801277155,86.7256198722845,15.8190461392771,84.1809538607229,95.2830103007792,"45_o","spring"
"PIPO",29,"o","45",2250,"45_2250_o",8.77111903614428,91.2288809638557,9.91474082021076,90.0852591797892,97.9847375027545,"45_o","spring"
"PIPO",30,"o","45",2250,"45_2250_o",9.08225038008096,90.917749619919,11.0627560432908,88.9372439567092,96.4980578912503,"45_o","spring"
"PIPO",31,"o","45",1000,"45_1000_o",10.0133318088714,89.9866681911286,12.2331667031391,87.7668332968609,96.0342616853223,"45_o","spring"
"PIPO",32,"o","45",1000,"45_1000_o",10.1442149536392,89.8557850463608,11.4260066508775,88.5739933491225,97.7067417598812,"45_o","spring"
"PIPO",33,"o","45",1000,"45_1000_o",10.1324503311258,89.8675496688742,9.67814977301062,90.3218502269894,100.812684396497,"45_o","spring"
"PIPO",52,"o","45",10200,"45_10200_o",7.85228377065112,92.1477162293489,67.3637139933522,32.6362860066478,-3.82390582200812,"45_o","spring"
"PIPO",53,"o","45",10200,"45_10200_o",7.81795254250739,92.1820474574926,67.4052484367339,32.5947515632661,-3.91754512812367,"45_o","spring"
"PIPO",54,"o","45",10200,"45_10200_o",6.87648698192999,93.12351301807,60.3186982831795,39.6813017168205,7.74145095013179,"45_o","spring"
"PIPO",55,"o","45",500,"45_500_o",6.43402807099069,93.5659719290093,8.87963652352515,91.1203634764749,95.7980532453372,"45_o","spring"
"PIPO",56,"o","45",500,"45_500_o",7.72204644491441,92.2779535550856,8.89274975477082,91.1072502452292,97.9604683791317,"45_o","spring"
"PIPO",57,"o","45",500,"45_500_o",8.43921492034309,91.5607850796569,9.04885750152909,90.9511424984709,98.9295969528045,"45_o","spring"
"PIPO",1000,"o","45",0,"45_0_o",0,100,0,100,100,"45_o","spring"
"PIPO",16,"n","50",3170,"50_3170_n",19.1528147250215,80.8471852749785,59.7927501217797,40.2072498782203,21.3199657074982,"50_n","spring"
"PIPO",37,"n","50",1375,"50_1375_n",15.5612975187677,84.4387024812323,53.0445969125214,46.9554030874786,30.5179382749481,"50_n","spring"
