"spp","branch","age","temp","duration","treatment","EC.control","survival.control","EC.treatment","survival.treatment","survival_final","groupVar","season"
"PIPO",97,"o","60",110,"60_110_o",9.78306655433867,90.2169334456613,47.9555555555556,52.0444444444444,-11.2906304347838,"60_o","autumn"
"PIPO",1003,"o","60",0,"60_0_o",0,100,0,100,99.1510893910192,"60_o","autumn"
"PIPO",35,"n","55",25,"55_25_n",7.03507084984922,92.9649291501508,7.65376661374992,92.3462333862501,98.9664270290356,"55_n","autumn"
"PIPO",36,"n","55",25,"55_25_n",8.045036181829,91.954963818171,9.33871653790391,90.6612834620961,97.8150829712055,"55_n","autumn"
"PIPO",37,"n","55",25,"55_25_n",7.48735620266089,92.5126437973391,8.60715998001758,91.3928400199824,98.1201466114742,"55_n","autumn"
"PIPO",38,"n","55",50,"55_50_n",8.29101987721897,91.708980122781,8.26511073353024,91.7348892664698,100.043875728403,"55_n","autumn"
"PIPO",39,"n","55",50,"55_50_n",7.83933641864906,92.1606635813509,7.73691550217719,92.2630844978228,100.172594204356,"55_n","autumn"
"PIPO",40,"n","55",50,"55_50_n",6.86826681447899,93.131733185521,8.10110314828492,91.8988968517151,97.9441525587549,"55_n","autumn"
"PIPO",41,"n","55",500,"55_500_n",7.70721270636244,92.2927872936376,62.262253331924,37.737746668076,8.19839692446749,"55_n","autumn"
"PIPO",42,"n","55",500,"55_500_n",8.05960990020267,91.9403900997973,66.0904677474856,33.9095322525144,1.97523897773548,"55_n","autumn"
"PIPO",43,"n","55",500,"55_500_n",8.4745231117108,91.5254768882892,64.4585332610894,35.5414667389106,5.00403755331643,"55_n","autumn"
"PIPO",44,"n","55",380,"55_380_n",9.5985401459854,90.4014598540146,48.6354534162023,51.3645465837977,32.9369702852026,"55_n","autumn"
"PIPO",45,"n","55",380,"55_380_n",6.87088738535429,93.1291126146457,56.1163561084649,43.8836438915351,17.8771610406808,"55_n","autumn"
"PIPO",46,"n","55",380,"55_380_n",8.14871567029564,91.8512843297044,33.3743775239335,66.6256224760666,57.3478939687435,"55_n","autumn"
"PIPO",47,"n","55",160,"55_160_n",7.67646150230969,92.3235384976903,27.8184380269753,72.1815619730247,66.1177074663563,"55_n","autumn"
"PIPO",48,"n","55",160,"55_160_n",8.47299813780261,91.5270018621974,15.2478209139952,84.7521790860048,88.5043946420773,"55_n","autumn"
