"pT","cT","temperature","nrmse","bootVar"
0.0542477212254944,0.114975699539774,65,0.318890597137074,"PIPO_spring_o_9"
0.000442979466249662,0.00014174741629268,45,0.281620538648421,"PIPO_spring_o_10"
0.00383450796280291,0.000628029144183424,50,0.312373749847872,"PIPO_spring_o_10"
0.00894000223508263,0.00278255940220712,55,0.27936684247362,"PIPO_spring_o_10"
0.0225622942971272,0.0123284673944206,60,0.384855890861827,"PIPO_spring_o_10"
0.0542477212254944,0.114975699539774,65,0.320148261979803,"PIPO_spring_o_10"
0.000442979466249662,0.00014174741629268,45,0.281620538648421,"PIPO_spring_o_11"
0.00383450796280291,0.000628029144183424,50,0.29562298406636,"PIPO_spring_o_11"
0.00894000223508263,0.00278255940220712,55,0.27854884430335,"PIPO_spring_o_11"
0.0266991095110662,0.0123284673944206,60,0.423421161820508,"PIPO_spring_o_11"
0.0542477212254944,0.114975699539774,65,0.320148261979803,"PIPO_spring_o_11"
0.000442979466249662,0.00014174741629268,45,0.281620538648421,"PIPO_spring_o_12"
0.00457801283091442,0.000628029144183424,50,0.295286093591259,"PIPO_spring_o_12"
0.00894000223508263,0.00278255940220712,55,0.27107964872117,"PIPO_spring_o_12"
0.0280881129079005,0.0123284673944206,60,0.381292483949729,"PIPO_spring_o_12"
0.0542477212254944,0.114975699539774,65,0.318890597137074,"PIPO_spring_o_12"
0.000442979466249662,0.00014174741629268,45,0.281620538648421,"PIPO_spring_o_13"
0.00383450796280291,0.000628029144183424,50,0.29562298406636,"PIPO_spring_o_13"
0.00894000223508263,0.00278255940220712,55,0.27936684247362,"PIPO_spring_o_13"
0.0269370865282058,0.0123284673944206,60,0.399310047023111,"PIPO_spring_o_13"
0.0542477212254944,0.0792482898353915,65,0.320705191060877,"PIPO_spring_o_13"
0.000442979466249662,0.00014174741629268,45,0.281620538648421,"PIPO_spring_o_14"
0.00383450796280291,0.000628029144183424,50,0.312373749847872,"PIPO_spring_o_14"
0.00779074680570552,0.00278255940220712,55,0.280072079219589,"PIPO_spring_o_14"
0.0266991095110662,0.0123284673944206,60,0.429214542386637,"PIPO_spring_o_14"
0.0542477212254944,0.114975699539774,65,0.318890597137074,"PIPO_spring_o_14"
0.000618555236633261,9.77009957299226e-05,45,0.274617619111559,"PIPO_spring_o_15"
0.00383450796280291,0.000628029144183424,50,0.29562298406636,"PIPO_spring_o_15"
0.00779074680570552,0.00278255940220712,55,0.280072079219589,"PIPO_spring_o_15"
0.0266991095110662,0.0123284673944206,60,0.423421161820508,"PIPO_spring_o_15"
0.0542477212254944,0.114975699539774,65,0.318890597137074,"PIPO_spring_o_15"
0.000618555236633261,9.77009957299226e-05,45,0.249805115256812,"PIPO_spring_o_16"
0.00383450796280291,0.000628029144183424,50,0.306844088189005,"PIPO_spring_o_16"
0.00894000223508263,0.00278255940220712,55,0.27936684247362,"PIPO_spring_o_16"
0.0266991095110662,0.0123284673944206,60,0.423421161820508,"PIPO_spring_o_16"
0.0542477212254944,0.114975699539774,65,0.328694098338253,"PIPO_spring_o_16"
0.000442979466249662,0.00014174741629268,45,0.281620538648421,"PIPO_spring_o_17"
0.00383450796280291,0.000628029144183424,50,0.29562298406636,"PIPO_spring_o_17"
0.00894000223508263,0.00278255940220712,55,0.270175482842892,"PIPO_spring_o_17"
0.0266991095110662,0.0123284673944206,60,0.438999303077892,"PIPO_spring_o_17"
0.0542477212254944,0.114975699539774,65,0.318890597137074,"PIPO_spring_o_17"
