"pT","cT","temperature","nrmse","jackVar"
0.0006185552,0.0002056512,45,0.4006578,"PIPO_allothers_63"
0.003211754,0.0006280291,50,0.3178663,"PIPO_allothers_63"
0.007790747,0.002782559,55,0.2914089,"PIPO_allothers_63"
0.0243401,0.02595024,60,0.3380474,"PIPO_allothers_63"
0.03440533,0.1668101,65,0.3287524,"PIPO_allothers_63"
0.0006185552,0.0002056512,45,0.397164,"PIPO_allothers_64"
0.003211754,0.0006280291,50,0.3178663,"PIPO_allothers_64"
0.006402399,0.004037017,55,0.2970167,"PIPO_allothers_64"
0.0243401,0.02595024,60,0.3376969,"PIPO_allothers_64"
0.03440533,0.1668101,65,0.3287524,"PIPO_allothers_64"
0.0006185552,0.0002056512,45,0.397164,"PIPO_allothers_65"
0.003211754,0.0006280291,50,0.3178663,"PIPO_allothers_65"
0.007790747,0.002782559,55,0.2938888,"PIPO_allothers_65"
0.0243401,0.02595024,60,0.3362437,"PIPO_allothers_65"
0.03440533,0.1668101,65,0.3309479,"PIPO_allothers_65"
0.0006185552,0.0002056512,45,0.397164,"PIPO_allothers_66"
0.003211754,0.0006280291,50,0.3172507,"PIPO_allothers_66"
0.007790747,0.002782559,55,0.288132,"PIPO_allothers_66"
0.0243401,0.02595024,60,0.3377522,"PIPO_allothers_66"
0.03440533,0.1668101,65,0.3287524,"PIPO_allothers_66"
0.0006185552,0.0002056512,45,0.3972378,"PIPO_allothers_67"
0.003211754,0.0006280291,50,0.3186233,"PIPO_allothers_67"
0.007790747,0.002782559,55,0.2914089,"PIPO_allothers_67"
0.0243401,0.02595024,60,0.3338326,"PIPO_allothers_67"
0.03440533,0.1668101,65,0.3314156,"PIPO_allothers_67"
0.0006185552,0.0002056512,45,0.397164,"PIPO_allothers_68"
0.003211754,0.0006280291,50,0.3178663,"PIPO_allothers_68"
0.007790747,0.002782559,55,0.2892577,"PIPO_allothers_68"
0.0243401,0.02595024,60,0.335365,"PIPO_allothers_68"
0.03398734,0.1668101,65,0.3308918,"PIPO_allothers_68"
0.0006185552,0.0002056512,45,0.397164,"PIPO_allothers_69"
0.003211754,0.0006280291,50,0.3178663,"PIPO_allothers_69"
0.007790747,0.002782559,55,0.2926532,"PIPO_allothers_69"
0.02669911,0.02595024,60,0.3146701,"PIPO_allothers_69"
0.03440533,0.1668101,65,0.3287524,"PIPO_allothers_69"
0.0006185552,0.0002056512,45,0.388399,"PIPO_allothers_70"
0.003211754,0.0006280291,50,0.3178663,"PIPO_allothers_70"
0.007790747,0.002782559,55,0.2914089,"PIPO_allothers_70"
0.0243401,0.02595024,60,0.3338326,"PIPO_allothers_70"
0.03619524,0.1668101,65,0.3163408,"PIPO_allothers_70"
0.0006185552,0.0002056512,45,0.3948222,"PIPO_allothers_71"
0.003211754,0.0006280291,50,0.3178663,"PIPO_allothers_71"
0.007790747,0.002782559,55,0.2914089,"PIPO_allothers_71"
0.0243401,0.02595024,60,0.3338326,"PIPO_allothers_71"
0.03440533,0.1668101,65,0.3287524,"PIPO_allothers_71"
0.0006185552,0.0002056512,45,0.397164,"PIPO_allothers_72"
0.003211754,0.0006280291,50,0.3178663,"PIPO_allothers_72"
0.007790747,0.002782559,55,0.2763213,"PIPO_allothers_72"
0.0243401,0.02595024,60,0.3355506,"PIPO_allothers_72"
0.03398734,0.1668101,65,0.3333137,"PIPO_allothers_72"
0.0006185552,0.0002056512,45,0.3982109,"PIPO_allothers_73"
0.003211754,0.0006280291,50,0.3178663,"PIPO_allothers_73"
0.007790747,0.002782559,55,0.2914089,"PIPO_allothers_73"
0.0243401,0.02595024,60,0.3307513,"PIPO_allothers_73"
0.03440533,0.1668101,65,0.3316277,"PIPO_allothers_73"
0.0006185552,0.0002056512,45,0.4024568,"PIPO_allothers_74"
0.003211754,0.0006280291,50,0.3189634,"PIPO_allothers_74"
0.007790747,0.002782559,55,0.2914089,"PIPO_allothers_74"
0.0243401,0.02595024,60,0.3338326,"PIPO_allothers_74"
0.03440533,0.1668101,65,0.3287524,"PIPO_allothers_74"
0.0006185552,0.0002056512,45,0.4061163,"PIPO_allothers_75"
0.003211754,0.0006280291,50,0.3178663,"PIPO_allothers_75"
0.007790747,0.002782559,55,0.2914089,"PIPO_allothers_75"
0.0243401,0.02595024,60,0.3377522,"PIPO_allothers_75"
0.03440533,0.1668101,65,0.3287524,"PIPO_allothers_75"
0.0006185552,0.0002056512,45,0.4015338,"PIPO_allothers_76"
0.003211754,0.0006280291,50,0.3178663,"PIPO_allothers_76"
0.007790747,0.002782559,55,0.2921433,"PIPO_allothers_76"
0.0243401,0.02595024,60,0.3374092,"PIPO_allothers_76"
