"groupVar","temperature","intercept","estimate","delta1","delta2","std.err","AdjR2","f.stat","est.min1","est.max1","est.min2","est.max2"
"PIPO_autumn_o",60,-15.6404947410438,-3.9894836038059,0.0927124094172277,0.0400870693609255,0.00212441645333963,0.943634799508349,8354.98013042489,-4.17119992626367,-3.80776728134814,-4.06805425975331,-3.91091294785849
"PIPO_autumn_o",65,-15.6404947410438,-3.01856600903607,0.0921690651692425,0.0388139001412133,0.00212441645333963,0.943634799508349,8354.98013042489,-3.19921737676779,-2.83791464130436,-3.09464125331285,-2.9424907647593
"PIPO_autumn_n",45,-15.3462635516476,-6.88100106573041,0.086663267059978,0.0587649184503586,0.00165540139657942,0.962793556650793,12913.6554844159,-7.05086106916796,-6.71114106229285,-6.99618030589311,-6.7658218255677
"PIPO_autumn_n",50,-15.3462635516476,-5.94041634507294,0.084951370001168,0.0562096882044685,0.00165540139657942,0.962793556650793,12913.6554844159,-6.10692103027523,-5.77391165987065,-6.0505873339537,-5.83024535619218
"PIPO_autumn_n",55,-15.3462635516476,-4.99983162441548,0.0771072025677298,0.0434547404869611,0.00165540139657942,0.962793556650793,12913.6554844159,-5.15096174144823,-4.84870150738273,-5.08500291576992,-4.91466033306103
"PIPO_autumn_n",60,-15.3462635516476,-4.05924690375801,0.0738401426890266,0.0373518467455631,0.00165540139657942,0.962793556650793,12913.6554844159,-4.20397358342851,-3.91452022408752,-4.13245652337932,-3.98603728413671
"PIPO_autumn_n",65,-15.3462635516476,-3.11866218310055,0.0723807856202401,0.0343769095465455,0.00165540139657942,0.962793556650793,12913.6554844159,-3.26052852291622,-2.97679584328488,-3.18604092581178,-3.05128344038932
"PSME_spring_o",45,-21.4124313087004,-7.20784320759273,0.128455110443569,0.0616244892840609,0.0020857883722058,0.978676096348642,22902.968610558,-7.45961522406212,-6.95607119112333,-7.32862720658949,-7.08705920859597
"PSME_spring_o",50,-21.4124313087004,-5.62955564080299,0.119245860473638,0.0389414627428154,0.0020857883722058,0.978676096348642,22902.968610558,-5.86327752733132,-5.39583375427466,-5.7058809077789,-5.55323037382707
"PSME_spring_o",55,-21.4124313087004,-4.05126807401324,0.120392930354084,0.0423239879937511,0.0020857883722058,0.978676096348642,22902.968610558,-4.28723821750725,-3.81529793051924,-4.134223090481,-3.96831305754549
"PSME_spring_o",60,-21.4124313087004,-2.4729805072235,0.123278236351704,0.0499438268301344,0.0020857883722058,0.978676096348642,22902.968610558,-2.71460585047284,-2.23135516397416,-2.57087040781056,-2.37509060663644
"PSME_spring_o",65,-21.4124313087004,-0.894692940433757,0.120717575575194,0.0432388174353147,0.0020857883722058,0.978676096348642,22902.968610558,-1.13129938856114,-0.658086492306377,-0.979441022606974,-0.80994485826054
"PSME_spring_n",45,-20.1339013292022,-6.7545541593023,0.171054111022873,0.0585594388960567,0.00103190444452239,0.994025009270926,83016.7739346023,-7.08982021690713,-6.41928810169747,-6.86933065953857,-6.63977765906603
"PSME_spring_n",50,-20.1339013292022,-5.26796002931343,0.169039689612054,0.0523843072888753,0.00103190444452239,0.994025009270926,83016.7739346023,-5.59927782095306,-4.9366422376738,-5.37063327159963,-5.16528678702723
"PSME_spring_n",55,-20.1339013292022,-3.78136589932456,0.165877460311328,0.0410491269740532,0.00103190444452239,0.994025009270926,83016.7739346023,-4.10648572153476,-3.45624607711436,-3.8618221881937,-3.70090961045541
"PSME_spring_n",60,-20.1339013292022,-2.29477176933569,0.168658005557309,0.0511392395775008,0.00103190444452239,0.994025009270926,83016.7739346023,-2.62534146022801,-1.96420207844336,-2.39500467890759,-2.19453885976378
"PSME_spring_n",65,-20.1339013292022,-0.808177639346813,0.165123949494893,0.0378895458245108,0.00103190444452239,0.994025009270926,83016.7739346023,-1.1318205803568,-0.484534698336822,-0.882441149162854,-0.733914129530771
"PSME_autumn_o",45,-19.1602165573973,-7.21583557070332,0.171769981021815,0.0657620780094854,0.00164954087215517,0.98109177130765,25892.6264367258,-7.55250473350608,-6.87916640790056,-7.34472924360191,-7.08694189780473
"PSME_autumn_o",50,-19.1602165573973,-5.88868212773732,0.166673223625143,0.0509871356077956,0.00164954087215517,0.98109177130765,25892.6264367258,-6.2153616460426,-5.56200260943204,-5.9886169135286,-5.78874734194604
"PSME_autumn_o",55,-19.1602165573973,-4.56152868477133,0.167087411885756,0.0523252112711544,0.00164954087215517,0.98109177130765,25892.6264367258,-4.88902001206741,-4.23403735747525,-4.66408609886279,-4.45897127067987
"PSME_autumn_o",60,-19.1602165573973,-3.23437524180533,0.163566809696747,0.0396714728521958,0.00164954087215517,0.98109177130765,25892.6264367258,-3.55496618881096,-2.91378429479971,-3.31213132859564,-3.15661915501503
"PSME_autumn_o",65,-19.1602165573973,-1.90722179883934,0.163390005353618,0.0389360806109977,0.00164954087215517,0.98109177130765,25892.6264367258,-2.22746620933243,-1.58697738834625,-1.9835365168369,-1.83090708084179
"PSME_autumn_n",45,-19.018714504468,-7.15146819940523,0.159910168052554,0.061403420692468,0.00117077117056071,0.990260698670768,50737.7080997447,-7.46489212878824,-6.83804427002223,-7.27181890396247,-7.031117494848
"PSME_autumn_n",50,-19.018714504468,-5.83288527662048,0.156435409740792,0.051683224037494,0.00117077117056071,0.990260698670768,50737.7080997447,-6.13949867971244,-5.52627187352853,-5.93418439573397,-5.731586157507
"PSME_autumn_n",55,-19.018714504468,-4.51430235383573,0.154721510881112,0.0462370431091178,0.00117077117056071,0.990260698670768,50737.7080997447,-4.81755651516271,-4.21104819250875,-4.6049269583296,-4.42367774934186
"PSME_autumn_n",60,-19.018714504468,-3.19571943105098,0.152934726934885,0.0398515862769352,0.00117077117056071,0.990260698670768,50737.7080997447,-3.49547149584336,-2.89596736625861,-3.27382854015378,-3.11761032194819
"PSME_autumn_n",65,-19.018714504468,-1.87713650826623,0.151759673901031,0.0350730216646303,0.00117077117056071,0.990260698670768,50737.7080997447,-2.17458546911225,-1.57968754742021,-1.94587963072891,-1.80839338580356
