"bootVar","temperature","pT","pT.min","pT.max","cT","cT.min","cT.max","nrmse"
"PIPO_spring_o_5",50,0.00383450796280291,0.000951390205733214,0.00538152024081008,0.000628029144183424,0.000374013007464724,0.00105456387364005,0.309656318210175
"PIPO_spring_o_5",55,0.00779074680570552,0.00354229217662038,0.0145792728038301,0.00278255940220712,0.00211496492540851,0.00493036019806504,0.282557815747697
"PIPO_spring_o_5",60,0.0266991095110662,0.00959655295954949,0.0542827156329833,0.0123284673944206,0.0098880107210053,0.027880150370228,0.423421161820508
"PIPO_spring_o_5",65,0.0542477212254944,0.0212880614975711,0.246829635904415,0.114975699539774,0.0410188450923212,0.177681754606204,0.318890597137074
"PIPO_spring_o_6",45,0.000442979466249662,0.000207372782980495,0.00258617985764039,0.00014174741629268,5.8686604663761e-05,0.000254213371075378,0.281620538648421
"PIPO_spring_o_6",50,0.00383450796280291,0.000953063659038919,0.00567603623365192,0.000628029144183424,0.000374013007464724,0.00105456387364005,0.29562298406636
"PIPO_spring_o_6",55,0.00894000223508263,0.00356533823723645,0.0153046330193115,0.00278255940220712,0.00211496492540851,0.00493036019806504,0.27936684247362
"PIPO_spring_o_6",60,0.0266991095110662,0.00961343287188908,0.0572534612909783,0.0123284673944206,0.0098880107210053,0.027880150370228,0.423421161820508
"PIPO_spring_o_6",65,0.0542477212254944,0.0210991486726714,0.263130930329248,0.114975699539774,0.0410188450923212,0.177681754606204,0.344181446020643
"PIPO_spring_o_7",45,0.000442979466249662,0.000207372782980495,0.00258617985764039,0.00014174741629268,5.8686604663761e-05,0.000254213371075378,0.281620538648421
"PIPO_spring_o_7",50,0.00383450796280291,0.000953063659038919,0.00567603623365192,0.000628029144183424,0.000374013007464724,0.00105456387364005,0.294415937724655
"PIPO_spring_o_7",55,0.00894000223508263,0.00356533823723645,0.0153046330193115,0.00278255940220712,0.00211496492540851,0.00493036019806504,0.288495002286446
"PIPO_spring_o_7",60,0.0266991095110662,0.00961343287188908,0.0572534612909783,0.0123284673944206,0.0098880107210053,0.027880150370228,0.423421161820508
"PIPO_spring_o_7",65,0.0542477212254944,0.0210991486726714,0.263130930329248,0.114975699539774,0.0410188450923212,0.177681754606204,0.318890597137074
"PIPO_spring_o_8",45,0.000618555236633261,0.000349048405264208,0.0022936053538776,9.77009957299226e-05,5.17865978110278e-05,0.000184323453752463,0.264556554085131
"PIPO_spring_o_8",50,0.00383450796280291,0.00136616941862884,0.00517199889590153,0.000628029144183424,0.00034545938680811,0.000847753651068692,0.22092066959535
"PIPO_spring_o_8",55,0.00894000223508263,0.00458596230352834,0.0135985040109547,0.00278255940220712,0.00207779561462217,0.0043244664111504,0.27936684247362
"PIPO_spring_o_8",60,0.0266991095110662,0.0120576643641659,0.0456475060327489,0.0123284673944206,0.0105990193416945,0.0260098804310685,0.423421161820508
"PIPO_spring_o_8",65,0.0542477212254944,0.0271896063868122,0.178663548774597,0.114975699539774,0.0487477700842999,0.173507388484126,0.318890597137074
"PIPO_spring_o_9",45,0.000442979466249662,0.000186171013274947,0.00331949720790268,0.00014174741629268,5.8686604663761e-05,0.000254213371075378,0.324092359687782
"PIPO_spring_o_9",50,0.00457801283091442,0.000885771690805415,0.00679243810829571,0.000628029144183424,0.000374013007464724,0.00105456387364005,0.295286093591259
"PIPO_spring_o_9",55,0.00894000223508263,0.00333178101172275,0.017580618633305,0.00278255940220712,0.00211496492540851,0.00493036019806504,0.27936684247362
"PIPO_spring_o_9",60,0.0266991095110662,0.00862352669290377,0.0661285204131145,0.0123284673944206,0.0098880107210053,0.027880150370228,0.423421161820508
"PIPO_spring_o_9",65,0.0542477212254944,0.0176456757358725,0.314628847458001,0.114975699539774,0.0410188450923212,0.177681754606204,0.318890597137074
"PIPO_spring_o_10",45,0.000442979466249662,0.000212193490878219,0.00252742585150636,0.00014174741629268,5.8686604663761e-05,0.000254213371075378,0.281620538648421
"PIPO_spring_o_10",50,0.00383450796280291,0.000952505949790051,0.00549131893927977,0.000628029144183424,0.000374013007464724,0.00105456387364005,0.312373749847872
"PIPO_spring_o_10",55,0.00894000223508263,0.00349333442224704,0.0146028655680966,0.00278255940220712,0.00211496492540851,0.00493036019806504,0.27936684247362
"PIPO_spring_o_10",60,0.0225622942971272,0.00928969770587911,0.0535562984816232,0.0123284673944206,0.0098880107210053,0.027880150370228,0.384855890861827
"PIPO_spring_o_10",65,0.0542477212254944,0.0201836556044063,0.240406492872841,0.114975699539774,0.0410188450923212,0.177681754606204,0.320148261979803
"PIPO_spring_o_11",45,0.000442979466249662,0.000207372782980495,0.00258617985764039,0.00014174741629268,5.8686604663761e-05,0.000254213371075378,0.281620538648421
"PIPO_spring_o_11",50,0.00383450796280291,0.000953063659038919,0.00567603623365192,0.000628029144183424,0.000374013007464724,0.00105456387364005,0.29562298406636
"PIPO_spring_o_11",55,0.00894000223508263,0.00356533823723645,0.0153046330193115,0.00278255940220712,0.00211496492540851,0.00493036019806504,0.27854884430335
"PIPO_spring_o_11",60,0.0266991095110662,0.00961343287188908,0.0572534612909783,0.0123284673944206,0.0098880107210053,0.027880150370228,0.423421161820508
"PIPO_spring_o_11",65,0.0542477212254944,0.0210991486726714,0.263130930329248,0.114975699539774,0.0410188450923212,0.177681754606204,0.320148261979803
"PIPO_spring_o_12",45,0.000442979466249662,0.000184134459283179,0.00335621133146072,0.00014174741629268,5.8686604663761e-05,0.000254213371075378,0.281620538648421
"PIPO_spring_o_12",50,0.00457801283091442,0.000883377902960976,0.00688027998389395,0.000628029144183424,0.000374013007464724,0.00105456387364005,0.295286093591259
"PIPO_spring_o_12",55,0.00894000223508263,0.00334444153573982,0.0178729939210716,0.00278255940220712,0.00211496492540851,0.00493036019806504,0.27107964872117
"PIPO_spring_o_12",60,0.0280881129079005,0.0086878998205865,0.067666604561081,0.0123284673944206,0.0098880107210053,0.027880150370228,0.381292483949729
"PIPO_spring_o_12",65,0.0542477212254944,0.0178103156607964,0.324627902188202,0.114975699539774,0.0410188450923212,0.177681754606204,0.318890597137074
"PIPO_spring_o_13",45,0.000442979466249662,0.00020690546317154,0.00259202104258773,0.00014174741629268,9.12067682909454e-05,0.000189826469537278,0.281620538648421
"PIPO_spring_o_13",50,0.00383450796280291,0.000952389223388122,0.00569014541839705,0.000628029144183424,0.000484655618962105,0.000813816224370661,0.29562298406636
"PIPO_spring_o_13",55,0.00894000223508263,0.00356702225675035,0.0153518025477928,0.00278255940220712,0.00242590509676982,0.00370391956248967,0.27936684247362
"PIPO_spring_o_13",60,0.0269370865282058,0.00962369453549748,0.0574977330953036,0.0123284673944206,0.0110410152508542,0.0185396743442515,0.399310047023111
"PIPO_spring_o_13",65,0.0542477212254944,0.0211264571041229,0.264663003720755,0.0792482898353915,0.0473345859856733,0.0985163438310437,0.320705191060877
"PIPO_spring_o_14",45,0.000442979466249662,0.000209229510891556,0.00242596273971275,0.00014174741629268,5.8686604663761e-05,0.000254213371075378,0.281620538648421
"PIPO_spring_o_14",50,0.00383450796280291,0.000951390205733214,0.00538152024081008,0.000628029144183424,0.000374013007464724,0.00105456387364005,0.312373749847872
"PIPO_spring_o_14",55,0.00779074680570552,0.00354229217662038,0.0145792728038301,0.00278255940220712,0.00211496492540851,0.00493036019806504,0.280072079219589
"PIPO_spring_o_14",60,0.0266991095110662,0.00959655295954949,0.0542827156329833,0.0123284673944206,0.0098880107210053,0.027880150370228,0.429214542386637
